Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Davos
Altitude [m asl]:         1594 m
Coordinates:              46° 48.8' N / 9° 50.6' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.12.2015


Year  Month        Temperature      Precipitation  
1933      8               11.4               89.2  
1933      9                8.3               74.5  
1933     10                3.1              118.6  
1933     11               -2.3               40.0  
1933     12               -8.2               14.5  
1934      1               -6.2               40.9  
1934      2               -5.8               10.2  
1934      3               -1.5               50.3  
1934      4                4.3               38.8  
1934      5                8.1               47.4  
1934      6                9.1              182.2  
1934      7               12.1              113.6  
1934      8                9.3              226.1  
1934      9                8.9               66.0  
1934     10                2.8               77.2  
1934     11               -1.1               60.7  
1934     12               -0.9               51.8  
1935      1               -9.1               43.9  
1935      2               -5.5              282.4  
1935      3               -4.5               64.1  
1935      4               -0.1               87.3  
1935      5                3.8               89.4  
1935      6               11.2               84.7  
1935      7               11.7              103.3  
1935      8                9.7              129.3  
1935      9                8.0               76.5  
1935     10                3.3              187.2  
1935     11               -0.6               69.9  
1935     12               -6.4               80.5  
1936      1               -2.2               58.4  
1936      2               -4.8               56.2  
1936      3               -0.8               18.3  
1936      4                1.5               90.6  
1936      5                6.4               51.9  
1936      6                8.5               83.2  
1936      7               10.1              228.9  
1936      8               10.1               90.0  
1936      9                7.7               86.6  
1936     10               -0.4               75.4  
1936     11               -1.5               13.3  
1936     12               -5.3              139.1  
1937      1               -4.6               61.5  
1937      2               -3.1              131.7  
1937      3               -3.2               64.3  
1937      4                0.6               39.9  
1937      5                7.3               70.2  
1937      6               10.4              102.3  
1937      7               11.2              167.6  
1937      8               10.1              138.2  
1937      9                6.9              107.7  
1937     10                4.2               58.8  
1937     11               -2.1               22.6  
1937     12               -7.4               51.5  
1938      1               -6.6              103.9  
1938      2               -6.5               41.6  
1938      3               -0.6               39.9  
1938      4               -1.8               17.3  
1938      5                4.5               55.9  
1938      6               10.8              134.4  
1938      7               10.7              120.5  
1938      8               10.1              192.8  
1938      9                8.0               54.6  
1938     10                3.5               52.6  
1938     11                0.8               19.0  
1938     12               -4.9               44.4  
1939      1               -4.0               43.8  
1939      2               -3.7               21.1  
1939      3               -5.7              129.3  
1939      4                3.0               30.0  
1939      5                3.2              124.1  
1939      6                9.8               67.3  
1939      7               10.3              201.2  
1939      8               10.8               84.0  
1939      9                7.0               85.4  
1939     10                2.5              109.1  
1939     11               -0.2              176.4  
1939     12               -6.7               37.5  
1940      1               -8.8               68.4  
1940      2               -5.0               77.6  
1940      3               -2.4               81.1  
1940      4                1.3               50.7  
1940      5                5.2              127.5  
1940      6                8.4              101.2  
1940      7                9.8              161.3  
1940      8                9.2               88.9  
1940      9                7.6              101.7  
1940     10                3.6               26.2  
1940     11               -1.6               78.9  
1940     12              -11.0               77.6  
1941      1               -7.7               20.7  
1941      2               -5.1               41.8  
1941      3               -1.9               49.4  
1941      4                0.3               30.8  
